match_id,match_date,year,opponent,tournament,venue_type,goals_for,goals_against,goal_difference,result
38175,2014-10-12,2014,Panama,Friendly,Home,1,0,1,Win
13571,1983-03-22,1983,Costa Rica,Friendly,Home,1,0,1,Win
22614,1998-02-12,1998,Jamaica,Gold Cup,Neutral,1,0,1,Win
27443,2003-07-27,2003,Brazil,Gold Cup,Home,1,0,1,Win
23759,1999-07-29,1999,Bolivia,Confederations Cup,Home,1,0,1,Win
40205,2016-10-11,2016,Panama,Friendly,Neutral,1,0,1,Win
17678,1991-04-09,1991,Chile,Friendly,Home,1,0,1,Win
7479,1968-10-16,1968,Colombia,Friendly,Away,1,0,1,Win
40440,2017-02-08,2017,Iceland,Friendly,Neutral,1,0,1,Win
19358,1993-09-22,1993,Cameroon,Friendly,Neutral,1,0,1,Win
26169,2002-01-19,2002,El Salvador,Gold Cup,Neutral,1,0,1,Win
13565,1983-03-15,1983,Costa Rica,Friendly,Away,1,0,1,Win
44270,2021-07-18,2021,El Salvador,Gold Cup,Neutral,1,0,1,Win
30950,2007-06-13,2007,Panama,Gold Cup,Neutral,1,0,1,Win
12168,1980-03-18,1980,Honduras,Friendly,Away,1,0,1,Win
37864,2014-06-13,2014,Cameroon,FIFA World Cup,Neutral,1,0,1,Win
44396,2021-09-05,2021,Costa Rica,FIFA World Cup qualification,Away,1,0,1,Win
26400,2002-05-16,2002,Bolivia,Friendly,Neutral,1,0,1,Win
34088,2010-09-07,2010,Colombia,Friendly,Home,1,0,1,Win
29342,2005-07-13,2005,Jamaica,Gold Cup,Neutral,1,0,1,Win
24753,2000-07-16,2000,Panama,FIFA World Cup qualification,Away,1,0,1,Win
6618,1966-05-11,1966,Chile,Friendly,Home,1,0,1,Win
7878,1969-11-05,1969,Belgium,Friendly,Home,1,0,1,Win
12366,1980-09-02,1980,Tahiti,Friendly,Away,1,0,1,Win
5458,1962-04-01,1962,Colombia,Friendly,Away,1,0,1,Win
33756,2010-05-13,2010,Angola,Friendly,Neutral,1,0,1,Win
15271,1986-04-13,1986,Uruguay,Friendly,Neutral,1,0,1,Win
49113,2026-01-22,2026,Panama,Friendly,Away,1,0,1,Win
45538,2022-09-24,2022,Peru,Friendly,Neutral,1,0,1,Win
31256,2007-09-09,2007,Panama,Friendly,Home,1,0,1,Win
20151,1995-02-01,1995,Uruguay,Friendly,Neutral,1,0,1,Win
9872,1974-09-08,1974,United States,Friendly,Away,1,0,1,Win
10250,1975-08-06,1975,German DR,Friendly,Home,1,0,1,Win
22130,1997-06-28,1997,Peru,Copa América,Neutral,1,0,1,Win
15355,1986-06-11,1986,Iraq,FIFA World Cup,Home,1,0,1,Win
26446,2002-06-03,2002,Croatia,FIFA World Cup,Neutral,1,0,1,Win
38945,2015-07-19,2015,Costa Rica,Gold Cup,Neutral,1,0,1,Win
25427,2001-04-11,2001,Chile,Friendly,Home,1,0,1,Win
8671,1971-12-02,1971,Costa Rica,CONCACAF Championship,Neutral,1,0,1,Win
34859,2011-06-27,2011,Bolivia,Friendly,Neutral,1,0,1,Win
47413,2024-06-22,2024,Jamaica,Copa América,Neutral,1,0,1,Win
48430,2025-06-10,2025,Turkey,Friendly,Neutral,1,0,1,Win
42722,2019-07-02,2019,Haiti,Gold Cup,Neutral,1,0,1,Win
9613,1973-12-18,1973,Haiti,CONCACAF Championship,Away,1,0,1,Win
5475,1962-04-25,1962,Colombia,Friendly,Home,1,0,1,Win
28411,2004-07-10,2004,Argentina,Copa América,Neutral,1,0,1,Win
12035,1979-11-01,1979,Peru,Friendly,Home,1,0,1,Win
37125,2013-07-20,2013,Trinidad and Tobago,Gold Cup,Neutral,1,0,1,Win
20816,1996-01-19,1996,Guatemala,Gold Cup,Neutral,1,0,1,Win
40571,2017-03-28,2017,Trinidad and Tobago,FIFA World Cup qualification,Away,1,0,1,Win
6634,1966-05-29,1966,Chile,Friendly,Away,1,0,1,Win
26362,2002-04-17,2002,Bulgaria,Friendly,Neutral,1,0,1,Win
20798,1996-01-14,1996,Guatemala,Gold Cup,Neutral,1,0,1,Win
5375,1961-10-29,1961,Paraguay,FIFA World Cup qualification,Home,1,0,1,Win
41190,2017-11-13,2017,Poland,Friendly,Away,1,0,1,Win
46289,2023-07-16,2023,Panama,Gold Cup,Neutral,1,0,1,Win
23685,1999-06-30,1999,Chile,Copa América,Neutral,1,0,1,Win
35166,2011-09-04,2011,Chile,Friendly,Neutral,1,0,1,Win
41649,2018-06-17,2018,Germany,FIFA World Cup,Neutral,1,0,1,Win
28690,2004-10-10,2004,Saint Vincent and the Grenadines,FIFA World Cup qualification,Away,1,0,1,Win
14859,1985-06-09,1985,England,Friendly,Home,1,0,1,Win
30976,2007-06-17,2007,Costa Rica,Gold Cup,Neutral,1,0,1,Win
22712,1998-04-15,1998,Peru,Friendly,Neutral,1,0,1,Win
41311,2018-01-31,2018,Bosnia and Herzegovina,Friendly,Neutral,1,0,1,Win
49114,2026-01-25,2026,Bolivia,Friendly,Away,1,0,1,Win
25772,2001-07-12,2001,Brazil,Copa América,Neutral,1,0,1,Win
49431,2026-06-18,2026,South Korea,FIFA World Cup,Home,1,0,1,Win
22030,1997-06-08,1997,El Salvador,FIFA World Cup qualification,Away,1,0,1,Win
14341,1984-10-11,1984,El Salvador,Friendly,Neutral,1,0,1,Win
22622,1998-02-15,1998,United States,Gold Cup,Away,1,0,1,Win
27421,2003-07-13,2003,Brazil,Gold Cup,Home,1,0,1,Win
40920,2017-09-01,2017,Panama,FIFA World Cup qualification,Home,1,0,1,Win
45047,2022-03-27,2022,Honduras,FIFA World Cup qualification,Away,1,0,1,Win
33759,2010-05-16,2010,Chile,Friendly,Home,1,0,1,Win
29927,2006-05-05,2006,Venezuela,Friendly,Neutral,1,0,1,Win
2280,1938-02-14,1938,Venezuela,Central American and Caribbean Games,Neutral,1,0,1,Win
25746,2001-07-01,2001,United States,FIFA World Cup qualification,Home,1,0,1,Win
41532,2018-06-02,2018,Scotland,Friendly,Home,1,0,1,Win
6991,1967-03-14,1967,Haiti,CONCACAF Championship,Neutral,1,0,1,Win
39683,2016-05-28,2016,Paraguay,Friendly,Neutral,1,0,1,Win
11350,1978-05-03,1978,Finland,Friendly,Away,1,0,1,Win
8575,1971-09-30,1971,Greece,Friendly,Away,1,0,1,Win
14984,1985-09-22,1985,Peru,Friendly,Neutral,1,0,1,Win
40869,2017-07-20,2017,Honduras,Gold Cup,Neutral,1,0,1,Win
33312,2009-09-09,2009,Honduras,FIFA World Cup qualification,Home,1,0,1,Win
44950,2022-02-02,2022,Panama,FIFA World Cup qualification,Home,1,0,1,Win
33753,2010-05-10,2010,Senegal,Friendly,Neutral,1,0,1,Win
14335,1984-10-09,1984,Colombia,Friendly,Neutral,1,0,1,Win
30993,2007-06-21,2007,Guadeloupe,Gold Cup,Neutral,1,0,1,Win
46124,2023-06-18,2023,Panama,CONCACAF Nations League,Neutral,1,0,1,Win
29299,2005-06-19,2005,Brazil,Confederations Cup,Neutral,1,0,1,Win
