match_id,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,match_key
40006,2016-09-02,El Salvador,Mexico,1.0,3.0,FIFA World Cup qualification,San Salvador,El Salvador,False,2016-09-02|El Salvador|Mexico|FIFA World Cup qualification|1.0|3.0|San Salvador
40078,2016-09-06,Mexico,Honduras,0.0,0.0,FIFA World Cup qualification,Mexico City,Mexico,False,2016-09-06|Mexico|Honduras|FIFA World Cup qualification|0.0|0.0|Mexico City
40150,2016-10-08,Mexico,New Zealand,2.0,1.0,Friendly,Nashville,United States,True,2016-10-08|Mexico|New Zealand|Friendly|2.0|1.0|Nashville
40205,2016-10-11,Mexico,Panama,1.0,0.0,Friendly,Bridgeview,United States,True,2016-10-11|Mexico|Panama|Friendly|1.0|0.0|Bridgeview
40275,2016-11-11,United States,Mexico,1.0,2.0,FIFA World Cup qualification,Columbus,United States,False,2016-11-11|United States|Mexico|FIFA World Cup qualification|1.0|2.0|Columbus
40340,2016-11-15,Panama,Mexico,0.0,0.0,FIFA World Cup qualification,Panama City,Panama,False,2016-11-15|Panama|Mexico|FIFA World Cup qualification|0.0|0.0|Panama City
40440,2017-02-08,Mexico,Iceland,1.0,0.0,Friendly,Las Vegas,United States,True,2017-02-08|Mexico|Iceland|Friendly|1.0|0.0|Las Vegas
40490,2017-03-24,Mexico,Costa Rica,2.0,0.0,FIFA World Cup qualification,Mexico City,Mexico,False,2017-03-24|Mexico|Costa Rica|FIFA World Cup qualification|2.0|0.0|Mexico City
40571,2017-03-28,Trinidad and Tobago,Mexico,0.0,1.0,FIFA World Cup qualification,Port of Spain,Trinidad and Tobago,False,2017-03-28|Trinidad and Tobago|Mexico|FIFA World Cup qualification|0.0|1.0|Port of Spain
40590,2017-05-28,Mexico,Croatia,1.0,2.0,Friendly,Los Angeles,United States,True,2017-05-28|Mexico|Croatia|Friendly|1.0|2.0|Los Angeles
40595,2017-06-01,Mexico,Republic of Ireland,3.0,1.0,Friendly,East Rutherford,United States,True,2017-06-01|Mexico|Republic of Ireland|Friendly|3.0|1.0|East Rutherford
40656,2017-06-08,Mexico,Honduras,3.0,0.0,FIFA World Cup qualification,Mexico City,Mexico,False,2017-06-08|Mexico|Honduras|FIFA World Cup qualification|3.0|0.0|Mexico City
40716,2017-06-11,Mexico,United States,1.0,1.0,FIFA World Cup qualification,Mexico City,Mexico,False,2017-06-11|Mexico|United States|FIFA World Cup qualification|1.0|1.0|Mexico City
40758,2017-06-18,Portugal,Mexico,2.0,2.0,Confederations Cup,Kazan,Russia,True,2017-06-18|Portugal|Mexico|Confederations Cup|2.0|2.0|Kazan
40760,2017-06-21,Mexico,New Zealand,2.0,1.0,Confederations Cup,Sochi,Russia,True,2017-06-21|Mexico|New Zealand|Confederations Cup|2.0|1.0|Sochi
40767,2017-06-24,Russia,Mexico,1.0,2.0,Confederations Cup,Kazan,Russia,False,2017-06-24|Russia|Mexico|Confederations Cup|1.0|2.0|Kazan
40806,2017-06-29,Germany,Mexico,4.0,1.0,Confederations Cup,Sochi,Russia,True,2017-06-29|Germany|Mexico|Confederations Cup|4.0|1.0|Sochi
40824,2017-07-01,Mexico,Paraguay,2.0,1.0,Friendly,Seattle,United States,True,2017-07-01|Mexico|Paraguay|Friendly|2.0|1.0|Seattle
40828,2017-07-02,Portugal,Mexico,2.0,1.0,Confederations Cup,Moscow,Russia,True,2017-07-02|Portugal|Mexico|Confederations Cup|2.0|1.0|Moscow
40849,2017-07-09,Mexico,El Salvador,3.0,1.0,Gold Cup,San Diego,United States,True,2017-07-09|Mexico|El Salvador|Gold Cup|3.0|1.0|San Diego
40856,2017-07-13,Mexico,Jamaica,0.0,0.0,Gold Cup,Denver,United States,True,2017-07-13|Mexico|Jamaica|Gold Cup|0.0|0.0|Denver
40863,2017-07-16,Curaçao,Mexico,0.0,2.0,Gold Cup,San Antonio,United States,True,2017-07-16|Curaçao|Mexico|Gold Cup|0.0|2.0|San Antonio
40869,2017-07-20,Mexico,Honduras,1.0,0.0,Gold Cup,Glendale,United States,True,2017-07-20|Mexico|Honduras|Gold Cup|1.0|0.0|Glendale
40871,2017-07-23,Mexico,Jamaica,0.0,1.0,Gold Cup,Pasadena,United States,True,2017-07-23|Mexico|Jamaica|Gold Cup|0.0|1.0|Pasadena
40920,2017-09-01,Mexico,Panama,1.0,0.0,FIFA World Cup qualification,Mexico City,Mexico,False,2017-09-01|Mexico|Panama|FIFA World Cup qualification|1.0|0.0|Mexico City
40980,2017-09-05,Costa Rica,Mexico,1.0,1.0,FIFA World Cup qualification,San José,Costa Rica,False,2017-09-05|Costa Rica|Mexico|FIFA World Cup qualification|1.0|1.0|San José
